,tweets,likes,time,user name,RT count,media
260,"La última frase del GRAN🤑 Alberto Fernández Presidente de Argentina
""TENEMOS DESCENDIENTES QUE SE CONVIRTIERON EN AFROAMERICANOS""
 👉😒PLOP",0,22/06/2021 04:13:55,RhSangre,0,
259,Otra frase de Alberto Fernández genera polémica https://t.co/6QncXqCPcn vía @CNNArgentina,0,22/06/2021 04:19:02,LOLAMORA2005,0,
258,"@mijisoficial @martinezmau todo pendejo comparando el problema de los afroamericanos con los tintes clasistas y el racismo sutil y negado mexicano, en USA ya han hecho avances y es porque lo han aceptado, algo que no se puede hacer mientras haya morenos comprados usados como instrumento político",0,22/06/2021 04:31:58,JorgeXO1,0,
257,La nueva polémica que desató otro improvisado discurso de Alberto Fernández https://t.co/cVL7aAKtbZ https://t.co/lFXKqEyOeV,73,22/06/2021 04:50:00,ActualidadRT,34,https://pbs.twimg.com/media/E4dW7w9WYAAB-aV.jpg
256,"""Tenemos descendientes que se convirtieron en afroamericanos"" @alferdez puede dejar de ser tan pelotudo señor?",0,22/06/2021 04:54:21,Ffede0910,0,
255,"@ActualidadRT La frase no fue esa, fue ""Tenemos descendientes que se convirtieron en afroamericanos"" 

Un dolobu.",0,22/06/2021 04:56:02,PiOpIo_2021,0,
254,"@Fernand84661833 @maruAndrea64 @cesartirendi @jorgemacri Y los 80.000 muertos, el afano de vacunas, y el chanchero vacacionando en España? No te olvides de los descendientes afroamericanos! 🤪 @maruAndrea64",1,22/06/2021 04:57:23,troya_2015,0,
253,"@ActualidadRT Y si en Argentina hay afroamericanos, como en todos los paises americanos por la esclavitud. ¿Cual es la polemica?",0,22/06/2021 04:58:43,juana__juana,0,
252,"""Tenemos descendientes que se convirtieron en afroamericanos”, fueron las palabras del presidente de Argentina #AlbertoFernandez 

100% real no fake

https://t.co/1snBbSUcG5",3,22/06/2021 05:00:00,Ibero909FM,0,
251,Descendientes q se convirtieron en Afroamericanos???? https://t.co/7boxUBnxjy,2,22/06/2021 05:01:20,M_ru6,0,
250,"@ActualidadRT Bueno, estos si no son Afroamericanos Argentinos, entonces son descendientes de monos https://t.co/GTfLC4WAhg",0,22/06/2021 05:08:36,ManuelG96694126,0,https://pbs.twimg.com/media/E4dkcEqXEAEwFPo.jpg
249,"@LuisSalas_MX Oye la misma religión que predicamos nos esclavizo ¿Sabías? Los americanos que discriminaban afroamericanos era ultra conservadora, ahora vienes y me citas la biblia ? Cita un libro de historia y no uses la biblia para condenar cuando en otra época tu hubieras sido condenado.",11,22/06/2021 05:14:21,Racso_92,1,
248,@Moluskein Y si fue a#AFROLATINO?  Nomas los del parke saben porq es un territorio de latinos y afroamericanos los maniacs,0,22/06/2021 05:18:20,georguezzy,0,
247,@ngelGut67784898 @Moluskein Bro so ya dilo claro fueron afroamericanos oh latinos y eran rivales porq se ve k el nene gyo era Latin king y estaba en un hood de los maniacs latinos gds,0,22/06/2021 05:24:05,georguezzy,0,
246,"@VicMoreCova @xmonkeynutsx @mijisoficial @EstefaniaVeloz Dale una leída a la esclavitud de los afroamericanos, en EUA, vas a encontrar sustanciosas diferencias mi hermano, saludos.",0,22/06/2021 05:40:13,Fher_fx,0,
245,"#Hocicón | ""Tenemos descendientes afroamericanos"": La nueva polémica que desató otro improvisado discurso de racismo de Alberto Fernández (presidente de Argentina)  https://t.co/80q2L1uxnR",0,22/06/2021 05:42:08,hocicon_oficial,0,
244,@juana__juana @ActualidadRT Tenemos descendencia africana no es lo mismo que ser descendientes de afroamericanos o hay un continente afroamerica?,0,22/06/2021 05:52:05,ender2020,0,
243,"Fui a los archivos y Albertico decía la verdad. Tenemos descendientes que se convirtieron en afroamericanos, quieren pruebas ?! Aquí están las pruebas! 🤭🤭🤦‍♀️ https://t.co/RF4Bj2qh0e",48,22/06/2021 06:00:35,tdexx22,19,https://pbs.twimg.com/ext_tw_video_thumb/1407216288687079430/pu/img/TkeFzVn9mcaUuJqk.jpg
242,"Katherine Dunham nacía #TalDiaComoHoy  de 1910. Bailarina y coreógrafa que en 1931 estableció un estudio de danza en Chicago y en 1940 formó la primera compañía de danza de los Estados Unidos donde todos sus integrantes eran afroamericanos. 
#Dance 
#art https://t.co/yQOxwirFaP",3,22/06/2021 06:15:00,ArtTazgona,0,https://pbs.twimg.com/media/E4EpDy1WEAIKVX8.jpg
241,"Aunque le pongan teleprompter ó papeles para leer AF dice cosas por su cuenta que averguenzan como, tenemos descendientes que se convirtieron en afroamericanos???
Yo creo que CFK en ése momento pidió un kilo de rapanui😂😂",8,22/06/2021 06:23:30,DernaMabel,4,
240,"@xiaohaverfr A los afroamericanos los matan más afroamericanos, 2 de cada 3 según datos oficiales. No seas tan estúpida, por Dios.",0,22/06/2021 06:54:55,Elma25615668,0,
239,"""Tenemos descendientes que se convirtieron en afroamericanos"", el nuevo furcio de Alberto que estalló en las redes 
https://t.co/2zoY2oFkRQ - 22-06-2021 04:08 https://t.co/EokcfMRPle",4,22/06/2021 07:08:03,TRIBUNAcomar,1,https://pbs.twimg.com/media/E4d_yEVX0AAwxiP.jpg
238,"Ahora entiendo lo de convertirse en afroamericanos!!

(Y...la dejaste picando.....) https://t.co/N5qEwdun2F",1,22/06/2021 07:26:33,anaalon72481254,0,
237,"@lilictrified Por cierto, un dato que desconocías. 
Las personas que más crímenes de odio cometen hacia asiáticos son afroamericanos, no blancos.",0,22/06/2021 07:34:35,Elma25615668,0,
236,"@VitoloM4 Siempre es así, la mayoría de latinos que conozco en Estados Unidos han recibido mucho racismo de parte de los afroamericanos.
Pero casi no se habla de ello",2,22/06/2021 08:07:00,DanteBakovic,0,
235,Tenemos descendientes que se convirtieron en afroamericanos y perros que se convirtieron en guiso. https://t.co/lIybjeCx12,1,22/06/2021 08:18:45,2q7mp066,1,https://pbs.twimg.com/media/E4eP9p7XoAEfQ1_.jpg
234,@juana__juana @ender2020 @ActualidadRT Le buscan el pelo al huevo. Alberto quiso decir que antepasados nuestros que vinieron de Africa se convirtieron en afroamericanos (por el hecho de vivir acá y dejar de ser esclavos)... Pero andá a explicarles a estos que votaron a Macri. Son cortos.,1,22/06/2021 08:55:38,Nicash14,0,
233,"#Argentina 
Nueva frase de @alferdez genera polémica https://t.co/igCO6LaPbf",0,22/06/2021 09:00:02,CNNEPrensa,0,
232,@MaximusArgentus Donde hay afroamericanos en Argentina. Los hubo en la época de la Colonia pero ya no quedan. A  que autores leerá el Presidente?,2,22/06/2021 09:09:33,moradorada2016,0,
231,"¡Buen día GORILONES!
¡Buen día ALBAÑILAS!
¡Buen día OBSESIVOS!
¡Buen día DOCENTAS!
¡BUEN DÍA NÓRDICOS!
¡BUEN DÍA AFROAMERICANOS!
Si seguimos así terminaremos siendo Orientales.Ya no quedan
ETNIAS por mencionar
Definitivamente el

MATARIFE VERBAL 

Siempre nos sorprende 
PARA MAL https://t.co/MuOrMtzXCt",14,22/06/2021 09:15:12,dianadosanto,5,https://pbs.twimg.com/media/E4ec4iTXIAA-f1X.jpg
230,Buen día afroamericanos del AMBA,0,22/06/2021 09:23:06,mario_superVIP,0,
229,"#TalDíacomoHoy de 1910 nace Katherine Mary Dunham, bailarina, coreógrafa y antropóloga estadounidense. En 1931 estableció un estudio de danza en Chicago y en 1940 formó la primera compañía de danza de los Estados Unidos donde todos sus integrantes eran afroamericanos. #Efemérides https://t.co/Fm1Zqy8k2f",4,22/06/2021 09:23:28,MujeresPasado,3,https://pbs.twimg.com/media/E4eeZMpXoAMUnw8.jpg
228,"A Alberto Fernandez: Los K le pidieron q no siga improvisando y q prepare los discursos, q ellos se los revisarán
Fernández, quien ya practicamente no gobierna, se niega xq cree q los discursos son lo último q le queda de poder propio
 https://t.co/GuOMWhYuIh vía @laderechadiario",20,22/06/2021 09:30:58,capcentral,13,
227,"Nosotros también tenemos descendientes afroamericanos, dijo el títere.
(¿No será ""ascendientes""?) https://t.co/FmhcLbFlaH",1,22/06/2021 09:35:55,FerroAnton,0,https://pbs.twimg.com/media/E4ehn_cWEAISk8k.jpg
226,Buen día a los que vinieron de Europa y se convirtieron en afroamericanos! 😘,5,22/06/2021 10:10:06,tucu_mano,1,
225,"@sunchalensis Solo resta averiguar como llega a las manos de esos afroamericanos un nonato, elemento difícil de conseguir de manera lícita.",0,22/06/2021 10:11:11,crueldestino16,0,
224,@Paneto85984357 @Siempre_Rocolo Lo sè! Los afroamericanos también son racistas !,0,22/06/2021 10:22:43,Mima1_20,0,
223,"En el acto oficial del Día de la Bandera, el Presidente volvió a improvisar un discurso y volvió a cometer un error, diciendo que hay argentinos que se hicieron ""afroamericanos"".

https://t.co/Ww6GTvDj27",0,22/06/2021 10:32:59,MATIASREINOSO6,0,
222,"#Nacionales | “Descendientes afroamericanos”: Tras el nuevo blooper, el Frente de Todos mira con recelo la “autosuficiencia” de Alberto
Leer más en https://t.co/ME6hcAmbeE https://t.co/wxi5iIwY85",0,22/06/2021 10:35:00,ElComodorense,0,https://pbs.twimg.com/media/E4dHfI3X0AIcuuq.jpg
221,"Buen día afroamericanos y afroamericanas! 
Vamos por el martes duro
#ElClubDelMoro",14,22/06/2021 10:43:16,morochodeloeste,0,
